order_item_refund_id,refund_date,Refund_amount_usd,order_id,order_date,User_id,order_total,order_cogs,order_item_id,product_id,product_name,item_price,item_cost,is_primary_item,item_margin,refund_loss_margin,days_to_refund,Website_session_id,session_start,utm_source,utm_campaign,utm_content,device_type,http_referer
1,06-04-2012 11:32,49.99000168,57,31-03-2012 02:32,1794,49.99000168,19.48999977,57,1,The Original Mr. Fuzzy,49.99,19.49,1,30.5,30.5,6,1802,31-03-2012 02:17,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
3,15-04-2012 07:03,49.99000168,71,03-04-2012 15:03,2247,49.99000168,19.48999977,71,1,The Original Mr. Fuzzy,49.99,19.49,1,30.5,30.5,12,2262,03-04-2012 14:45,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
2,13-04-2012 01:09,49.99000168,74,03-04-2012 19:09,2309,49.99000168,19.48999977,74,1,The Original Mr. Fuzzy,49.99,19.49,1,30.5,30.5,10,2325,03-04-2012 18:50,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
5,22-04-2012 20:53,49.99000168,116,13-04-2012 14:53,3895,49.99000168,19.48999977,116,1,The Original Mr. Fuzzy,49.99,19.49,1,30.5,30.5,9,3947,13-04-2012 14:43,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
4,17-04-2012 20:00,49.99000168,118,15-04-2012 09:00,4065,49.99000168,19.48999977,118,1,The Original Mr. Fuzzy,49.99,19.49,1,30.5,30.5,2,4119,15-04-2012 08:48,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com
6,04-05-2012 11:59,49.99000168,147,23-04-2012 20:59,4832,49.99000168,19.48999977,147,1,The Original Mr. Fuzzy,49.99,19.49,1,30.5,30.5,11,4943,23-04-2012 20:43,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
9,24-05-2012 16:00,49.99000168,179,09-05-2012 01:00,6288,49.99000168,19.48999977,179,1,The Original Mr. Fuzzy,49.99,19.49,1,30.5,30.5,15,6536,09-05-2012 00:47,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
7,12-05-2012 02:41,49.99000168,186,09-05-2012 17:41,6381,49.99000168,19.48999977,186,1,The Original Mr. Fuzzy,49.99,19.49,1,30.5,30.5,3,6637,09-05-2012 17:24,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
8,16-05-2012 13:06,49.99000168,191,11-05-2012 15:06,5115,49.99000168,19.48999977,191,1,The Original Mr. Fuzzy,49.99,19.49,1,30.5,30.5,5,6889,11-05-2012 14:46,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com
10,30-05-2012 17:20,49.99000168,199,15-05-2012 03:20,6869,49.99000168,19.48999977,199,1,The Original Mr. Fuzzy,49.99,19.49,1,30.5,30.5,15,7175,15-05-2012 03:06,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com
